InvoiceId  Total  CustomerId  FullName     
---------  -----  ----------  -------------
6          0.99   37          Jane Peacock 
7          1.98   38          Jane Peacock 
9          3.96   42          Jane Peacock 
10         5.94   46          Jane Peacock 
11         8.91   52          Jane Peacock 
15         1.98   19          Jane Peacock 
23         3.96   59          Jane Peacock 
26         13.86  19          Jane Peacock 
27         0.99   33          Jane Peacock 
30         3.96   38          Jane Peacock 
31         5.94   42          Jane Peacock 
34         0.99   12          Jane Peacock 
36         1.98   15          Jane Peacock 
43         1.98   53          Jane Peacock 
45         5.94   59          Jane Peacock 
47         13.86  15          Jane Peacock 
48         0.99   29          Jane Peacock 
49         1.98   30          Jane Peacock 
52         5.94   38          Jane Peacock 
53         8.91   44          Jane Peacock 
54         13.86  53          Jane Peacock 
62         0.99   46          Jane Peacock 
72         3.96   30          Jane Peacock 
81         8.91   19          Jane Peacock 
83         0.99   42          Jane Peacock 
84         1.98   43          Jane Peacock 
85         1.98   45          Jane Peacock 
92         1.98   24          Jane Peacock 
94         5.94   30          Jane Peacock 
96         21.86  45          Jane Peacock 
97         1.99   59          Jane Peacock 
98         3.98   1           Jane Peacock 
99         3.98   3           Jane Peacock 
102        9.91   15          Jane Peacock 
103        15.86  24          Jane Peacock 
104        0.99   38          Jane Peacock 
107        3.96   43          Jane Peacock 
109        8.91   53          Jane Peacock 
110        13.86  3           Jane Peacock 
112        1.98   18          Jane Peacock 
120        1.98   58          Jane Peacock 
121        3.96   1           Jane Peacock 
127        1.98   37          Jane Peacock 
129        5.94   43          Jane Peacock 
131        13.86  58          Jane Peacock 
135        3.96   18          Jane Peacock 
138        13.86  37          Jane Peacock 
140        1.98   52          Jane Peacock 
143        5.94   1           Jane Peacock 
146        0.99   30          Jane Peacock 
148        1.98   33          Jane Peacock 
151        8.91   45          Jane Peacock 
155        1.98   12          Jane Peacock 
157        5.94   18          Jane Peacock 
158        8.91   24          Jane Peacock 
159        13.86  33          Jane Peacock 
163        3.96   52          Jane Peacock 
165        8.91   3           Jane Peacock 
166        13.86  12          Jane Peacock 
169        1.98   29          Jane Peacock 
180        13.86  29          Jane Peacock 
181        0.99   43          Jane Peacock 
182        1.98   44          Jane Peacock 
183        1.98   46          Jane Peacock 
185        5.94   52          Jane Peacock 
186        8.91   58          Jane Peacock 
193        14.91  37          Jane Peacock 
194        21.86  46          Jane Peacock 
195        0.99   1           Jane Peacock 
204        3.98   42          Jane Peacock 
205        7.96   44          Jane Peacock 
209        0.99   18          Jane Peacock 
210        1.98   19          Jane Peacock 
214        8.91   33          Jane Peacock 
215        13.86  42          Jane Peacock 
218        1.98   59          Jane Peacock 
221        8.91   12          Jane Peacock 
225        1.98   38          Jane Peacock 
227        5.94   44          Jane Peacock 
229        13.86  59          Jane Peacock 
231        1.98   15          Jane Peacock 
233        3.96   19          Jane Peacock 
235        8.91   29          Jane Peacock 
236        13.86  38          Jane Peacock 
237        0.99   52          Jane Peacock 
238        1.98   53          Jane Peacock 
249        8.91   46          Jane Peacock 
254        3.96   15          Jane Peacock 
255        5.94   19          Jane Peacock 
261        3.96   53          Jane Peacock 
267        1.98   30          Jane Peacock 
270        8.91   42          Jane Peacock 
276        5.94   15          Jane Peacock 
278        13.86  30          Jane Peacock 
279        0.99   44          Jane Peacock 
280        1.98   45          Jane Peacock 
283        5.94   53          Jane Peacock 
284        8.91   59          Jane Peacock 
287        1.98   24          Jane Peacock 
291        8.91   38          Jane Peacock 
294        1.98   3           Jane Peacock 
302        1.98   43          Jane Peacock 
303        3.96   45          Jane Peacock 
307        1.99   19          Jane Peacock 
310        7.96   24          Jane Peacock 
313        16.86  43          Jane Peacock 
315        1.98   58          Jane Peacock 
316        1.98   1           Jane Peacock 
317        3.96   3           Jane Peacock 
322        1.98   37          Jane Peacock 
325        5.94   45          Jane Peacock 
327        13.86  1           Jane Peacock 
328        0.99   15          Jane Peacock 
330        1.98   18          Jane Peacock 
332        5.94   24          Jane Peacock 
333        8.91   30          Jane Peacock 
335        0.99   53          Jane Peacock 
338        3.96   58          Jane Peacock 
339        5.94   3           Jane Peacock 
341        13.86  18          Jane Peacock 
343        1.98   33          Jane Peacock 
345        3.96   37          Jane Peacock 
350        1.98   12          Jane Peacock 
358        1.98   52          Jane Peacock 
360        5.94   58          Jane Peacock 
364        1.98   29          Jane Peacock 
366        3.96   33          Jane Peacock 
367        5.94   37          Jane Peacock 
368        8.91   43          Jane Peacock 
369        13.86  52          Jane Peacock 
373        3.96   12          Jane Peacock 
377        0.99   45          Jane Peacock 
378        1.98   46          Jane Peacock 
382        8.91   1           Jane Peacock 
384        0.99   24          Jane Peacock 
387        3.96   29          Jane Peacock 
388        5.94   33          Jane Peacock 
391        0.99   3           Jane Peacock 
395        5.94   12          Jane Peacock 
396        8.91   18          Jane Peacock 
399        1.98   42          Jane Peacock 
400        1.98   44          Jane Peacock 
401        3.96   46          Jane Peacock 
409        5.94   29          Jane Peacock 
411        13.86  44          Jane Peacock 
412        1.99   58          Jane Peacock 
2          3.96   4           Margaret Park
3          5.94   8           Margaret Park
5          13.86  23          Margaret Park
8          1.98   40          Margaret Park
13         0.99   16          Margaret Park
19         13.86  40          Margaret Park
21         1.98   55          Margaret Park
24         5.94   4           Margaret Park
25         8.91   10          Margaret Park
28         1.98   34          Margaret Park
35         1.98   13          Margaret Park
39         8.91   27          Margaret Park
44         3.96   55          Margaret Park
50         1.98   32          Margaret Park
51         3.96   34          Margaret Park
55         0.99   8           Margaret Park
56         1.98   9           Margaret Park
58         3.96   13          Margaret Park
60         8.91   23          Margaret Park
61         13.86  32          Margaret Park
64         1.98   49          Margaret Park
66         5.94   55          Margaret Park
70         1.98   26          Margaret Park
73         5.94   34          Margaret Park
74         8.91   40          Margaret Park
75         13.86  49          Margaret Park
76         0.99   4           Margaret Park
77         1.98   5           Margaret Park
79         3.96   9           Margaret Park
